TransactionReference,SecurityID,ValueDate,Units,ExecutionPrice,ExpectedSettlement,GrossAmount
1,JPM,2025-08-16,3353,418.43,2025-08-18,1402995.79
2,WMT,2025-08-16,4523,277.85,2025-08-18,1256715.55
3,GOOGL,2025-08-14,4004,458.81,2025-08-16,1837075.24
4,WMT,2025-08-20,1445,454.83,2025-08-22,657229.35
5,TSLA,2025-08-01,1933,373.8,2025-08-03,722555.4
6,GOOGL,2025-08-13,-3712,333.32,2025-08-15,-1237283.84
7,TSLA,2025-08-16,-3284,428.71,2025-08-18,-1407883.64
8,NVDA,2025-08-17,1735,415.43,2025-08-19,720771.05
9,AMZN,2025-08-14,-3289,303.25,2025-08-17,-997389.25
10,JPM,2025-08-14,-4286,165.71,2025-08-16,-710233.06
11,JNJ,2025-08-12,-541,411.32,2025-08-14,-222524.12
12,JNJ,2025-08-10,3672,467.47,2025-08-12,1716549.84
13,WMT,2025-08-11,-3756,185.41,2025-08-13,-696399.96
14,GOOGL,2025-08-13,2441,227.39,2025-08-15,555058.99
15,JPM,2025-08-19,489,299.52,2025-08-21,146465.28
16,JPM,2025-08-03,3805,317.23,2025-08-05,1207060.1500000001
17,MSFT,2025-08-01,-634,150.18,2025-08-04,-95214.12000000001
18,MSFT,2025-08-18,2466,460.54,2025-08-20,1135691.6400000001
19,JPM,2025-08-03,-3135,181.01,2025-08-05,-567466.35
20,NVDA,2025-08-02,-4144,498.06,2025-08-04,-2063960.64
22,NVDA,2025-08-15,-587,417.39,2025-08-17,-245007.93
23,AAPL,2025-08-05,-2717,305.78,2025-08-07,-830804.2599999999
24,NVDA,2025-08-12,3518,343.41,2025-08-14,1208116.3800000001
25,NVDA,2025-08-15,-4845,358.73,2025-08-17,-1738046.85
26,TSLA,2025-08-04,2555,467.73,2025-08-06,1195050.1500000001
27,AMZN,2025-08-03,2752,240.66,2025-08-05,662296.32
28,AAPL,2025-08-08,1648,157.58,2025-08-10,259691.84000000003
29,JNJ,2025-08-08,3525,411.95,2025-08-10,1452123.75
31,TSLA,2025-08-16,-1879,315.63,2025-08-18,-593068.77
32,AMZN,2025-08-01,-4304,430.49,2025-08-03,-1852828.96
33,JNJ,2025-08-07,-2241,153.73,2025-08-09,-344508.93
34,GOOGL,2025-08-18,1681,251.7,2025-08-20,423107.69999999995
35,V,2025-08-11,-105,414.62,2025-08-13,-43535.1
36,GOOGL,2025-08-07,-2287,157.65,2025-08-09,-360545.55
37,V,2025-08-03,-2311,186.38,2025-08-05,-430724.18
38,MSFT,2025-08-01,-2248,312.63,2025-08-03,-702792.24
39,AAPL,2025-08-16,151,313.4,2025-08-18,47323.399999999994
40,AMZN,2025-08-18,-1249,245.39,2025-08-20,-306492.11
41,TSLA,2025-08-16,-1499,451.38,2025-08-18,-676618.62
42,AAPL,2025-08-13,-2942,273.64,2025-08-15,-805048.88
43,V,2025-08-01,1828,406.41,2025-08-04,742917.4800000001
44,TSLA,2025-08-03,-2898,444.33,2025-08-05,-1287668.3399999999
45,AMZN,2025-08-16,3152,172.31,2025-08-18,543121.12
46,AAPL,2025-08-11,-1956,295.15,2025-08-13,-577313.3999999999
47,NVDA,2025-08-01,-3893,362.18,2025-08-03,-1409966.74
48,MSFT,2025-08-17,3041,219.56,2025-08-19,667681.96
49,AMZN,2025-08-14,4272,195.76,2025-08-16,836286.72
50,AAPL,2025-08-12,4528,427.99,2025-08-14,1937938.72
51,V,2025-08-03,2792,357.36,2025-08-05,997749.12
52,NVDA,2025-08-11,3983,481.18,2025-08-13,1916539.94
